,Accept,Accept-Encoding,Accept-Language,Cache-Control,Connection,Content-Length,Content-Type,Cookie,DNT,Host,If-Modified-Since,If-None-Match,Origin,Pragma,Range,Referer,Upgrade-Insecure-Requests,X-Requested-With,X-XSRFToken,httpMethod,httpPath,httpProto,len,respCode,respMsg,time,uAgentBrowser,uAgentOS,label
465,"text/html, */*; q=0.01","gzip, deflate","en,en-US;q=0.5",,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,XMLHttpRequest,,GET,/ppp_tc/panel/text_header.html,HTTP/1.1,672,,,1487668459.20585,Firefox,Linux,norm
468,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/header/header_01_tc.png,HTTP/1.1,665,,,1487668459.2933214,Firefox,Linux,norm
493,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/header/header_13.png,HTTP/1.1,662,,,1487668459.303426,Firefox,Linux,norm
497,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/header/header_03.gif,HTTP/1.1,662,,,1487668459.312152,Firefox,Linux,norm
501,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/header/header_04.gif,HTTP/1.1,662,,,1487668459.320627,Firefox,Linux,norm
503,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/header/header_05.gif,HTTP/1.1,662,,,1487668459.3291314,Firefox,Linux,norm
505,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/header/header_sc.png,HTTP/1.1,662,,,1487668459.337494,Firefox,Linux,norm
509,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/header/header_07.png,HTTP/1.1,662,,,1487668459.345823,Firefox,Linux,norm
513,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/header/header_en.png,HTTP/1.1,662,,,1487668459.3541448,Firefox,Linux,norm
517,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/font_s.png,HTTP/1.1,657,,,1487668459.362471,Firefox,Linux,norm
523,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/font_m.png,HTTP/1.1,657,,,1487668459.371205,Firefox,Linux,norm
527,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/font_l.png,HTTP/1.1,657,,,1487668459.379428,Firefox,Linux,norm
531,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_999.png,HTTP/1.1,665,,,1487668459.38792,Firefox,Linux,norm
537,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_hotline.png,HTTP/1.1,669,,,1487668459.396328,Firefox,Linux,norm
544,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_report_room.png,HTTP/1.1,673,,,1487668459.404596,Firefox,Linux,norm
551,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_e-report.png,HTTP/1.1,670,,,1487668459.412899,Firefox,Linux,norm
560,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_sitemap.png,HTTP/1.1,669,,,1487668459.4213786,Firefox,Linux,norm
566,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_links.png,HTTP/1.1,667,,,1487668459.429747,Firefox,Linux,norm
575,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_contact_us.png,HTTP/1.1,672,,,1487668459.438009,Firefox,Linux,norm
582,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_youtube.png,HTTP/1.1,669,,,1487668459.446585,Firefox,Linux,norm
595,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_fb.png,HTTP/1.1,664,,,1487668459.455278,Firefox,Linux,norm
601,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_instagram.png,HTTP/1.1,671,,,1487668459.464364,Firefox,Linux,norm
661,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/info/php/master/css.php?lang=tc,,,,GET,/info/img/header/header_bg.jpg,HTTP/1.1,658,,,1487668459.533096,Firefox,Linux,norm
728,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/icon_close.png,HTTP/1.1,661,,,1487668459.5639026,Firefox,Linux,norm
732,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_youtube_02.png,HTTP/1.1,672,,,1487668459.602957,Firefox,Linux,norm
733,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/tools_icon_hkpma.jpg,HTTP/1.1,667,,,1487668459.607699,Firefox,Linux,norm
734,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/icon/designed_by_isw.gif,HTTP/1.1,666,,,1487668459.612341,Firefox,Linux,norm
812,*/*,"gzip, deflate","en,en-US;q=0.5",no-cache,keep-alive,,,SI590660=ymg4jI2+dWsEUyYACXJvbGVfaW5mb5kij6AOA3+0GFHnF078GL1zEKUKhApGXr50oHvMVzmKCpWP6dw=; TS01366553=01fc3261cb99540a8998c1ae57d4429711024152b0fd43d98c1c788ea4d32afea94debb2b987ba5207cf4c5e8ee41e07d4e5ff8f8b,1.0,www.police.gov.hk,,,,no-cache,,http://www.police.gov.hk/ppp_tc/15_recruit/how_to_apply.html,,,,GET,/info/img/wcag/w3c_wcag2.0.gif,HTTP/1.1,662,,,1487668459.645576,Firefox,Linux,norm
